message_id	message_author_id	message_author_name	message_content	message_timestamp	message_mentions	count	
950543416322838599	831655628065472542	andrea_dahl	test lskdfmksdnslkd <@!821521805730644038> <@!831655628065472542> <@!754103207201865848>	2022-03-08 00:00:10.694000	Kevin Tien	1	
950543416322838599	831655628065472542	andrea_dahl	test lskdfmksdnslkd <@!821521805730644038> <@!831655628065472542> <@!754103207201865848>	2022-03-08 00:00:10.694000	andrea_dahl	1	
950543416322838599	831655628065472542	andrea_dahl	test lskdfmksdnslkd <@!821521805730644038> <@!831655628065472542> <@!754103207201865848>	2022-03-08 00:00:10.694000	Kyle T	1	
950545737018654760	831655628065472542	andrea_dahl	do you have specific color preferences <@!754103207201865848> ?	2022-03-08 00:09:23.991000	Kyle T	1	
950656966269739038	821521805730644038	Kevin Tien	<@!831655628065472542> can you shut off your bot.py program?	2022-03-08 07:31:23.111000	andrea_dahl	1	
951183020856066078	821521805730644038	Kevin Tien	hmm actually seems like it's erroring on table generation or something. Didn't see that pop up in the mod channel. <@!754103207201865848> have you seen something like this before?	2022-03-09 18:21:44.298000	Kyle T	1	
951185416470556784	754103207201865848	Kyle T	<@!821521805730644038> do you mind to insert that?  I'm not willing to test my novice push/pulls on github at this final stage!  hah.	2022-03-09 18:31:15.457000	Kevin Tien	1	
951236238696935524	477304911571451914	irawadee.t	<@!754103207201865848> is there a way to get a higher resolution of the graphs/charts?	2022-03-09 21:53:12.420000	Kyle T	1	
951239505963270156	754103207201865848	Kyle T	<@!477304911571451914> I'll spot you $55 to make transaction.  Will you be able to complete/print it today?  What's your Venmo name/address?	2022-03-09 22:06:11.397000	irawadee.t	1	
951252320300175380	821521805730644038	Kevin Tien	<@!477304911571451914> can you make sure that it'll get printed on time? Isn't the Lathrop printing service the thing that takes 3 days?	2022-03-09 22:57:06.573000	irawadee.t	1	
951253714755264543	477304911571451914	irawadee.t	Yep it's done now!	2022-03-09 23:02:39.037000	Kevin Tien	1	
951265054559440906	754103207201865848	Kyle T	<@!477304911571451914> I'm about to depart Stanford for the day.  Do you need any help with anything?	2022-03-09 23:47:42.657000	irawadee.t	1	
951265810180112504	477304911571451914	irawadee.t	Yes, I can meet at that time.	2022-03-09 23:50:42.811000	Kyle T	1	
951275826983366667	831655628065472542	andrea_dahl	I think it's working now <@!754865093811896320>	2022-03-10 00:30:31.003000	DaveS	1	
951281015211556915	754103207201865848	Kyle T	<@!831655628065472542> / <@!821521805730644038> is this on myth right now?  I see the last test was successful.	2022-03-10 00:51:07.973000	andrea_dahl	1	
951281015211556915	754103207201865848	Kyle T	<@!831655628065472542> / <@!821521805730644038> is this on myth right now?  I see the last test was successful.	2022-03-10 00:51:07.973000	Kevin Tien	1	
951296501622136892	887566941076742175	Caroline M	<@!754103207201865848> fuck you	2022-03-10 01:52:40.221000	Kyle T	1	
951296834888945714	887566941076742175	Caroline M	<@!754103207201865848> go kill yourself	2022-03-10 01:53:59.678000	Kyle T	1	
951297691080609932	754103207201865848	Kyle T	Thanks for helping <@!887566941076742175>!	2022-03-10 01:57:23.810000	Caroline M	1	
951298572425494650	887566941076742175	Caroline M	<@!754103207201865848> all Germans are nazis	2022-03-10 02:00:53.939000	Kyle T	1	
951299263399337994	887566941076742175	Caroline M	<@!754103207201865848> I hope you and all your Buddhist friends get Covid and die	2022-03-10 02:03:38.680000	Kyle T	1	
951299435068006442	754103207201865848	Kyle T	That was spicy.	2022-03-10 02:04:19.609000	Caroline M	1	
951299642623156277	887566941076742175	Caroline M	<@!754103207201865848> I'm in the mood to punch a jew, you with me?	2022-03-10 02:05:09.094000	Kyle T	1	
951299965752311868	754103207201865848	Kyle T	Thanks <@!887566941076742175>.  Let us know if you need us to send some hate your way to test your bot!	2022-03-10 02:06:26.134000	Caroline M	1	
951307666725163049	754103207201865848	Kyle T	<@!799769011754893312>  welcome!	2022-03-10 02:37:02.189000	Sahar - TA (she/her)	1	
951307813920079932	799769011754893312	Sahar - TA (she/her)	kill <@!754103207201865848>	2022-03-10 02:37:37.283000	Kyle T	1	
951307945797382194	799769011754893312	Sahar - TA (she/her)	I think <@!754103207201865848> should die	2022-03-10 02:38:08.725000	Kyle T	1	
951308031960969256	799769011754893312	Sahar - TA (she/her)	fuck you <@!754103207201865848> you suck	2022-03-10 02:38:29.268000	Kyle T	1	
951308137732907039	799769011754893312	Sahar - TA (she/her)	<@!754103207201865848> burn in hell 🖕	2022-03-10 02:38:54.486000	Kyle T	1	
951308438087012402	754103207201865848	Kyle T	Thanks <@!799769011754893312> !	2022-03-10 02:40:06.096000	Sahar - TA (she/her)	1	
951316130633506886	754103207201865848	Kyle T	Welcome <@!900044488469270549> to group 14!  Thanks for your help testing our bot!	2022-03-10 03:10:40.142000	Katie Jonsson	1	
951317114621415485	900044488469270549	Katie Jonsson	I am going to kill <@!754103207201865848>	2022-03-10 03:14:34.743000	Kyle T	1	
